Município;Cargo;Número;Nome do Candidato;Nome para Urna;Votos Computados;% Votos Computados;Destinação de Votos;Situação da Totalização;Partido;Partido/Coligação
"JUAZEIRO DO NORTE";"Vereador            ";"15111";"LEANDRA ZAIRA RIBEIRO BATISTA";"LEANDRA RIBEIRO";204;0,15;"Válido";"Suplente";"MDB";"MDB"
"JUAZEIRO DO NORTE";"Vereador            ";"19007";"AURISANDRA CÂNDIDO DE AZEVEDO";"SANDRA AZEVEDO";203;0,15;"Válido";"Suplente";"PODE";"PODE"
"JUAZEIRO DO NORTE";"Vereador            ";"22555";"FRANCISCO RONALDO FERREIRA";"CHAPADA";198;0,15;"Válido";"Suplente";"PL";"PL"
"JUAZEIRO DO NORTE";"Vereador            ";"36389";"MARIA ROZIANE DA SILVA GONÇALVES";"ROZIANE DA AUTOESCOLA";196;0,15;"Válido";"Não eleito";"PTC";"PTC"
"JUAZEIRO DO NORTE";"Vereador            ";"70234";"RAIMUNDO DOMINGOS DOS SANTOS";"RONALDO DOMINGOS";193;0,14;"Válido";"Não eleito";"AVANTE";"AVANTE"
"JUAZEIRO DO NORTE";"Vereador            ";"10222";"JOSE WILSON GOMES DE OLIVEIRA";"ZE WILSON";191;0,14;"Válido";"Suplente";"REPUBLICANOS";"REPUBLICANOS"
"JUAZEIRO DO NORTE";"Vereador            ";"23789";"LUCENILDO LIMA DO NASCIMENTO";"LUCENILDO LIMA";191;0,14;"Válido";"Suplente";"CIDADANIA";"CIDADANIA"
"JUAZEIRO DO NORTE";"Vereador            ";"22333";"FRANCISCO ALMIR AMORIM MACEDO";"ALMIR AMORIM";188;0,14;"Válido";"Suplente";"PL";"PL"
"JUAZEIRO DO NORTE";"Vereador            ";"27333";"ELIANE SILVA DE OLIVEIRA";"ELIANE OLIVEIRA";187;0,14;"Válido";"Suplente";"DC";"DC"
"JUAZEIRO DO NORTE";"Vereador            ";"27190";"CICERO LACERDA DE MARIA";"LACERDA DO ESPORTE";184;0,14;"Válido";"Suplente";"DC";"DC"
"JUAZEIRO DO NORTE";"Vereador            ";"19180";"ELANE SILVA BEZERRA";"ELANE BEZERRA";183;0,14;"Válido";"Suplente";"PODE";"PODE"
"JUAZEIRO DO NORTE";"Vereador            ";"50050";"VALDIR BARBOSA DE MEDEIROS";"VALDIR MEDEIROS";178;0,13;"Válido";"Não eleito";"PSOL";"PSOL"
"JUAZEIRO DO NORTE";"Vereador            ";"33300";"JOSE TENORIO DO NASCIMENTO";"TENORIO";172;0,13;"Válido";"Suplente";"PMN";"PMN"
"JUAZEIRO DO NORTE";"Vereador            ";"10400";"ROBERIO GUTEMBERG DA SILVA MENDES";"GUTEMBERG";172;0,13;"Válido";"Suplente";"REPUBLICANOS";"REPUBLICANOS"
"JUAZEIRO DO NORTE";"Vereador            ";"55456";"FRANCISLENY CAVALCANTE DA ROCHA";"LENA DA CONSTRUECO";171;0,13;"Válido";"Suplente";"PSD";"PSD"
