Município;Cargo;Número;Nome do Candidato;Nome para Urna;Votos Computados;% Votos Computados;Destinação de Votos;Situação da Totalização;Partido;Partido/Coligação
"ABAIARA";"Prefeito            ";"13";"AFONSO TAVARES LEITE";"AFONSO TAVARES";3.149;54,93;"Válido";"Eleito";"PT";"PT / PSDB"
"ABAIARA";"Vice-Prefeito       ";"13";"ANGELO FURTADO SAMPAIO";"ANGIM"; ; ;" ";"Eleito";"PT";"PT / PSDB"
"ABAIARA";"Prefeito            ";"15";"PEDRO MARCOS BEZERRA MOREIRA";"PEDRO MARCOS";2.584;45,07;"Válido";"Não eleito";"MDB";"PSL / PTB / PSD / MDB"
"ABAIARA";"Vice-Prefeito       ";"15";"CYNTIA NUNES TAVARES";"DRA CYNTIA"; ; ;" ";"Não eleito";"PSD";"PSL / PTB / PSD / MDB"
"ABAIARA";"Vereador            ";"55555";"FRANCISCO LIVINO DINIZ";"FRANCISCO DE TINDÔ";624;10,81;"Válido";"Eleito por QP";"PSD";"PSD"
"ABAIARA";"Vereador            ";"55678";"GERALDO GISLASIO SAMPAIO";"BILÚ";442;7,66;"Válido";"Eleito por QP";"PSD";"PSD"
"ABAIARA";"Vereador            ";"13114";"RICARDO LEITE DE FIGUEIREDO";"RICARDO LEITE";389;6,74;"Válido";"Eleito por QP";"PT";"PT"
"ABAIARA";"Vereador            ";"13456";"ARNALDO TAVARES GRANGEIRO";"ARNALDO DA BAIXA DANTAS";383;6,64;"Válido";"Eleito por QP";"PT";"PT"
"ABAIARA";"Vereador            ";"13333";"MANOEL LUIZ ALVES FILHO";"MANOEL ALVES";368;6,38;"Válido";"Eleito por QP";"PT";"PT"
"ABAIARA";"Vereador            ";"55456";"JOSÉ TAVARES DE LUCENA";"DEDA JÓ";365;6,32;"Válido";"Eleito por média";"PSD";"PSD"
"ABAIARA";"Vereador            ";"13123";"FRANCISCO ELISEU MOREIRA FILHO";"LULU";297;5,15;"Válido";"Eleito por QP";"PT";"PT"
"ABAIARA";"Vereador            ";"13777";"ISMAEL CALDAS GRANGEIRO";"ISMAEL GRANGEIRO";290;5,02;"Válido";"Eleito por média";"PT";"PT"
"ABAIARA";"Vereador            ";"13555";"MARCELO ALVES DA SILVA";"MARCELO ALVES";261;4,52;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"15999";"MARIA HELENA SAMPAIO DA SILVA";"DRA MARA SAMPAIO";229;3,97;"Válido";"Eleito por QP";"MDB";"MDB"
"ABAIARA";"Vereador            ";"13000";"CLAUDIANE PEREIRA MARIANO";"CLAUDIANE";211;3,66;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"13222";"GERALDO DIODATO DO NASCIMENTO";"GERALDO DIODATO";210;3,64;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"55234";"REGILANIO TAVARES MARTINS";"LANIM";183;3,17;"Válido";"Suplente";"PSD";"PSD"
"ABAIARA";"Vereador            ";"15678";"JOÃO MARCELO BEZERRA MOREIRA";"JOÃO MARCELO";162;2,81;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"13111";"MARIA DANIELA TAVARES";"DANIELE DE ZEMAR";155;2,69;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"55123";"JOAO SAMPAIO MARTINS";"JOÃO LIZEU";150;2,60;"Válido";"Suplente";"PSD";"PSD"
"ABAIARA";"Vereador            ";"13100";"MARIA GISELE CONCEIÇÃO LIMA";"GISELE LIMA";150;2,60;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"15333";"LUIS LAURINDO DA SILVA";"LUIS LAURINDO";99;1,72;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"13789";"CARLOS FELIPE TAVARES DE MEDEIROS";"FELIPE DE ZE TAVARES";99;1,72;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"15555";"KARIELIS XAVIER DOS SANTOS";"KARIELISON MATHIAS";64;1,11;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"15123";"LUCAS DA SILVA SOUSA";"LUCAS DO OLHO DAGUA";52;0,90;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"15015";"GILDEMBERG APOLINARIO DA SILVA";"PASTOR GIL";42;0,73;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"15888";"ANTONIO EDVAL NASCIMENTO";"CAJU";23;0,40;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"15222";"ELIZABETE GONÇALVES MAGALHÃES";"BETA DE ALDECOB";22;0,38;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"13567";"MARIA IRISMAR DA SILVA CAVALCANTE";"IRISMAR CAVALCANTE";21;0,36;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"15100";"RAIMUNDO ERNANDO DANTAS SALVIANO";"HERNANDES";21;0,36;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"15789";"ADAUTO AFONSO DE FIGUEIREDO";"DADA DA SORTE";17;0,29;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"55567";"CICERA GERONIMO";"MANHÔ";16;0,28;"Válido";"Suplente";"PSD";"PSD"
"ABAIARA";"Vereador            ";"55888";"MARIA EUZELIA LEITE SAMPAIO";"EUZELIA SAMPAIO";9;0,16;"Válido";"Suplente";"PSD";"PSD"
"ABAIARA";"Vereador            ";"15111";"FRANCISCO NIZINHO DE SOUSA";"CHICO ANIZIO";8;0,14;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"13131";"ADRIANA TAVARES TELES DE LUNA";"ADRIANA DE ZE DO GAS";6;0,10;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"55789";"DUCLIENE DE LIMA SILVA";"TATÁ";6;0,10;"Válido";"Suplente";"PSD";"PSD"
"ABAIARA";"Vereador            ";"15567";"ANIKELLI PEREIRA DOS SANTOS";"ANIKELLI";6;0,10;"Válido";"Suplente";"MDB";"MDB"
"ABAIARA";"Vereador            ";"13444";"FRANCISCA SANTOS SILVA";"IRMA FRANCISCA";5;0,09;"Válido";"Suplente";"PT";"PT"
"ABAIARA";"Vereador            ";"15777";"DANIELE DE JESUS MARTINS";"DANIELE";4;0,07;"Válido";"Suplente";"MDB";"MDB"
"ACARAPE";"Prefeito            ";"12";"FRANCISCO EDILBERTO BESERRA BARROSO";"EDILBERTO";5.789;58,68;"Válido";"Eleito";"PDT";"PDT / MDB"
"ACARAPE";"Vice-Prefeito       ";"12";"VIVIAN TORRES RAMOS DE FREITAS";"VIVIAN"; ; ;" ";"Eleito";"PDT";"PDT / MDB"
"ACARAPE";"Prefeito            ";"55";"FRANCISCO ALEXANDRE CUNHA MAGALHÃES";"DR ALEXANDRE";4.061;41,16;"Válido";"Não eleito";"PSD";"PT / PATRIOTA / PSD"
"ACARAPE";"Vice-Prefeito       ";"55";"FRANCISCO JOSE COSTA SOARES FILHO";"JOSE DO FRANZE"; ; ;" ";"Não eleito";"PSD";"PT / PATRIOTA / PSD"
"ACARAPE";"Prefeito            ";"36";"SEBASTIÃO FERREIRA LIMA";"TIÃO  ACARAPE";16;0,16;"Válido";"Não eleito";"PTC";"PTC"
"ACARAPE";"Vice-Prefeito       ";"36";"MARKLYN BRENO DA SILVA LIMA";"MARKLYN"; ; ;" ";"Não eleito";"PTC";"PTC"
"ACARAPE";"Vereador            ";"55123";"JOSE FERNANDO DE SOUZA RIBEIRO";"FERNANDO MORENO";587;5,87;"Válido";"Eleito por QP";"PSD";"PSD"
"ACARAPE";"Vereador            ";"55555";"PAULO RICARDO QUARESMA NAZION";"DR PAULO QUARESMA";523;5,23;"Válido";"Eleito por QP";"PSD";"PSD"
"ACARAPE";"Vereador            ";"13456";"FRANCISCO CLAUDIO SILVA SOUSA";"CLÁUDIO GORDO";497;4,97;"Válido";"Eleito por QP";"PT";"PT"
"ACARAPE";"Vereador            ";"55999";"JOSE LILIAUDO MONTEIRO CAVALCANTE";"LIAUDO MONTEIRO";459;4,59;"Válido";"Eleito por QP";"PSD";"PSD"
"ACARAPE";"Vereador            ";"13610";"ALEXANDRE DE CASTRO FALCÃO";"ALEXANDRE FALCÃO";431;4,31;"Válido";"Eleito por QP";"PT";"PT"
"ACARAPE";"Vereador            ";"55000";"ANA ALEXANDRA EDUARDO DA HORA";"XANDINHA DA HORA";402;4,02;"Válido";"Eleito por QP";"PSD";"PSD"
"ACARAPE";"Vereador            ";"13555";"KARINE DE CASTRO BEZERRA";"DOUTORA KARINE BEZERRA";369;3,69;"Válido";"Eleito por QP";"PT";"PT"
"ACARAPE";"Vereador            ";"13000";"ANTÔNIO MARCELO SOARES OLIVEIRA";"MARCELO DA REGINA";353;3,53;"Válido";"Suplente";"PT";"PT"
"ACARAPE";"Vereador            ";"51888";"JOSÉ VALMIR DIAS DA SILVA FILHO";"BUITO VALMIR";353;3,53;"Válido";"Eleito por QP";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"55789";"MARIA CELINA GOMES CARLOS MONTEIRO";"CELINA CARLOS";340;3,40;"Válido";"Eleito por média";"PSD";"PSD"
"ACARAPE";"Vereador            ";"13111";"FRANCISCO DE LIMA MENDES";"MOACIR";339;3,39;"Válido";"Suplente";"PT";"PT"
"ACARAPE";"Vereador            ";"55333";"JOSE WILSON DA COSTA SILVA";"ZE WILSON DO SAO BENEDITO";338;3,38;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"51123";"SANDRO MARCIO SOARES DA SILVA";"MÁRCIO PRESENÇA";314;3,14;"Válido";"Eleito por média";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"12333";"ANTONIO ITALO BESSA BOMFIM";"ITALO BOMFIM";308;3,08;"Válido";"Eleito por QP";"PDT";"PDT"
"ACARAPE";"Vereador            ";"13133";"JOAQUIM SÉRGIO PEREIRA DE MESQUITA";"SÉRGIO MESQUITA";287;2,87;"Válido";"Suplente";"PT";"PT"
"ACARAPE";"Vereador            ";"13222";"FRANCISCO EDIMILSON DE SOUSA FILHO";"MELÃO";266;2,66;"Válido";"Suplente";"PT";"PT"
"ACARAPE";"Vereador            ";"12444";"JOSE ERINALDO DA SILVA OLIVEIRA";"ERINALDO";259;2,59;"Válido";"Suplente";"PDT";"PDT"
"ACARAPE";"Vereador            ";"55111";"JOSE CLAUSIANO DE LIMA";"CLAUSIANO";235;2,35;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"12321";"JOSE WILSON DUARTE DE SOUSA";"ZÉ WILSON";206;2,06;"Válido";"Suplente";"PDT";"PDT"
"ACARAPE";"Vereador            ";"51000";"BRUNO ANDERSON ALCINO DA SILVA";"BRUNO ALCINO";194;1,94;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"12000";"GEANE MARIA COSME LIMA SILVA";"GEANE LIMA";186;1,86;"Válido";"Suplente";"PDT";"PDT"
"ACARAPE";"Vereador            ";"15000";"FRANCISCO MARCELO MONTEIRO DE CASTRO";"MARCELO DO TECA";185;1,85;"Válido";"Não eleito";"MDB";"MDB"
"ACARAPE";"Vereador            ";"55888";"FRANCISCO FABIO SALES DE ALMEIDA";"PROF FABIO ALMEIDA";170;1,70;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"51456";"MANOEL GONÇALO DOS SANTOS";"BOMFIM DO DEPÓSITO";167;1,67;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"55777";"MARIA DANIELLE SAMPAIO FALCAO";"DANIELLE SAMPAIO";156;1,56;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"55678";"JARDEL MOREIRA PAZ";"JARDEL PAZ";156;1,56;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"13131";"JOSÉ FABIO CORREIA DE SOUSA";"FABIO CORREIA";155;1,55;"Válido";"Suplente";"PT";"PT"
"ACARAPE";"Vereador            ";"51222";"FRANCISCO DE ASSIS DA SILVA LIMA";"FRANCISCO LIMA";121;1,21;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"15234";"CLAUDIO NASCIMENTO DA COSTA";"IRMAO CLAUDIO";119;1,19;"Válido";"Não eleito";"MDB";"MDB"
"ACARAPE";"Vereador            ";"12123";"MARIA ARLENE DO NASCIMENTO MARINHO DA SILVA";"ARLENE DA SAUDE";111;1,11;"Válido";"Suplente";"PDT";"PDT"
"ACARAPE";"Vereador            ";"12500";"RODRIGO TINOCO BESSA CHAGAS";"RODRIGO TINOCO";107;1,07;"Válido";"Suplente";"PDT";"PDT"
"ACARAPE";"Vereador            ";"51111";"MARIA GESSYKA DA SILVA COSTA LEAL";"GESSYKA LEAL";105;1,05;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"51789";"RAIMUNDO WAGNER OLIVEIRA DA SILVA";"WAGUINHO DA BORRACHARIA";100;1,00;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"15222";"ANTONIO CARLOS SOARES GONÇALVES";"LOURO DO SARUÊ";88;0,88;"Válido";"Não eleito";"MDB";"MDB"
"ACARAPE";"Vereador            ";"55222";"LUIS ANDRADE DA SILVA";"LUIZINHO";83;0,83;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"13333";"ERINEUDO LUIS DE LIMA";"ERINEUDO DO PT";74;0,74;"Válido";"Suplente";"PT";"PT"
"ACARAPE";"Vereador            ";"15100";"CONCEIÇÃO DE MARIA DA SILVA LIMA";"CEIÇA VITOR";73;0,73;"Válido";"Não eleito";"MDB";"MDB"
"ACARAPE";"Vereador            ";"15111";"ANTONIO AMANCIO DA SILVA";"BITONHO";58;0,58;"Válido";"Não eleito";"MDB";"MDB"
"ACARAPE";"Vereador            ";"55456";"MANOEL DE SOUSA LOURENCIO";"NEL LOURENÇO";45;0,45;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"55010";"JOAO BATISTA OLIVEIRA FILHO";"FOFAO";31;0,31;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"12345";"PATRICIA KELLY DA SILVA GONÇALVES SOUZA";"PATRICIA KELLY";31;0,31;"Válido";"Suplente";"PDT";"PDT"
"ACARAPE";"Vereador            ";"15456";"ALDENIR PASTOR DE LIMA";"COELHO";28;0,28;"Válido";"Não eleito";"MDB";"MDB"
"ACARAPE";"Vereador            ";"12222";"FRANCISCA JOELMA DA SILVA SOARES";"JOELMA";28;0,28;"Válido";"Suplente";"PDT";"PDT"
"ACARAPE";"Vereador            ";"15123";"ELMA GOMES DE QUEIROZ";"ELMA DA SAUDE";21;0,21;"Válido";"Não eleito";"MDB";"MDB"
"ACARAPE";"Vereador            ";"15105";"MARIA HELENA FERREIRA DA SILVA";"MARIA HELENA DA SAUDE";19;0,19;"Válido";"Não eleito";"MDB";"MDB"
"ACARAPE";"Vereador            ";"51333";"FRANCISCO EDNALDO LOPES PEREIRA";"IRMÃO TOCA";19;0,19;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"12789";"MARCO AURELIO DE LIMA FILHO";"MARCOS FILHO";17;0,17;"Válido";"Suplente";"PDT";"PDT"
"ACARAPE";"Vereador            ";"51234";"ADRIANA TORRES SALES BOMFIM";"ADRIANA DO NOGUEIRA";16;0,16;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"15333";"VICENTE DE PAULA DA SILVA";"VICENTE TAXISTA";16;0,16;"Válido";"Não eleito";"MDB";"MDB"
"ACARAPE";"Vereador            ";"13123";"FRANCISCA CRISTIANE OLIVEIRA DA SILVA";"CRIS OLIVEIRA";14;0,14;"Válido";"Suplente";"PT";"PT"
"ACARAPE";"Vereador            ";"51777";"SONIA CASSIANO DA SILVA";"SONIA";14;0,14;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"55100";"CICERA ADRIANA FREITAS SANTOS";"CICERA";13;0,13;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"51555";"SABRINA MAGALHÃES MARTINS DA SILVA";"SABRINA MARTINS";13;0,13;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"13551";"YASMIN DA SILVA GÒIS SANTIAGO";"YASMIN SANTIAGO";12;0,12;"Válido";"Suplente";"PT";"PT"
"ACARAPE";"Vereador            ";"55655";"ODELIZA COSTA FERREIRA";"LIZ EVANGELISTA";11;0,11;"Válido";"Suplente";"PSD";"PSD"
"ACARAPE";"Vereador            ";"13789";"JOCIARA MARIA DIAS DE ALMEIDA SOUZA";"JOCIARA";9;0,09;"Válido";"Suplente";"PT";"PT"
"ACARAPE";"Vereador            ";"51444";"ANTÔNIO SALUSTIANO LEMOS DA SILVA";"PASTOR TIANO LEMOS";3;0,03;"Válido";"Suplente";"PATRIOTA";"PATRIOTA"
"ACARAPE";"Vereador            ";"12200";"JOSE NAPOLEAO MONTE DA CRUZ";"DR NAPOLEAO";2;0,02;"Válido";"Suplente";"PDT";"PDT"
"ACARAPE";"Vereador            ";"12888";"JOSE DE ARIMATEA DE CASTRO FILHO";"ARIMATEA";1; ;"Nulo técnico";"Não eleito";"PDT";"PDT"
"ACARAÚ";"Prefeito            ";"40";"ANA FLÁVIA RIBEIRO MONTEIRO";"ANA FLÁVIA";18.443;51,24;"Válido";"Eleito";"PSB";"PSB / DEM"
"ACARAÚ";"Vice-Prefeito       ";"40";"FRANCISCO BISPO PARNAÍBA";"MANO DA MELANCIA"; ; ;" ";"Eleito";"PSB";"PSB / DEM"
"ACARAÚ";"Prefeito            ";"12";"AMADEU FERREIRA GOMES NETO";"AMADEU NETO";17.553;48,76;"Válido";"Não eleito";"PDT";"PDT / PSD / PT / MDB / PTB / PP"
"ACARAÚ";"Vice-Prefeito       ";"12";"MANUEL EDMUNDO DA SILVEIRA";"EDMUNDO SILVEIRA"; ; ;" ";"Não eleito";"PSD";"PDT / PSD / PT / MDB / PTB / PP"
"ACARAÚ";"Prefeito            ";"43";"SERGIO CELIO SILVA";"SERGIO CELIO SILVA";33; ;"Nulo técnico";"Não eleito";"PV";"PV"
"ACARAÚ";"Vice-Prefeito       ";"43";"CINTIA CELIA SILVA";"CINTIA CELIA SILVA"; ; ;" ";"Não eleito";"PV";"PV"
"ACARAÚ";"Vereador            ";"12123";"JOSE JADEJUNE DE ARAUJO";"JUNIOR MUNDO";1.433;4,00;"Válido";"Eleito por QP";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"12345";"PAULO MARIA SILVEIRA";"PAULO SILVEIRA";1.352;3,77;"Válido";"Eleito por QP";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"12610";"JOSE VASCOLOMBO DE ARAUJO";"COLOMBO";1.333;3,72;"Válido";"Eleito por QP";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"12000";"MANOEL ROGERIO DA SILVA SILVEIRA";"ROGERIO SILVEIRA";1.248;3,48;"Válido";"Eleito por QP";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"25800";"JARBAS OLIEDSON NASCIMENTO";"JARBAS ARAÚJO";1.185;3,30;"Válido";"Eleito por QP";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"40666";"JOSÉ EDILSON ARAÚJO";"EDILSON SALGUEIRO";1.105;3,08;"Válido";"Eleito por QP";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"12023";"ENIO LUIS FERNANDES DE ANDRADE";"ENIO ANDRADE";1.087;3,03;"Válido";"Eleito por média";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"12456";"JOSE ILSON DE ARAUJO";"JOSE ILSON";1.074;3,00;"Válido";"Suplente";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"25789";"PEDRO PEREIRA DE SOUZA FILHO";"PEDRO FILHO";1.012;2,82;"Válido";"Eleito por QP";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"40222";"CLÁUDIO JEAN DA SILVEIRA";"CLÁUDIO JEAN";943;2,63;"Válido";"Eleito por QP";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"13555";"VAGNER EDSON SILVEIRA RIBEIRO";"GAGUINHA DO CEDRO";919;2,56;"Válido";"Eleito por QP";"PT";"PT"
"ACARAÚ";"Vereador            ";"13444";"JOSE CLAUDENIR SILVEIRA SOUSA";"PROFESSOR CLAUDENIR SILVEIRA";855;2,38;"Válido";"Eleito por QP";"PT";"PT"
"ACARAÚ";"Vereador            ";"40555";"MARIA ERINEUZA FONTENELE DA SILVA";"ERINEUZA FONTENELE";852;2,38;"Válido";"Eleito por QP";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"40400";"ALDEMIR VIANA SALES";"DEMIR SALES";841;2,35;"Válido";"Suplente";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"12218";"MARIA MAEVIA DE SOUSA";"MAEVIA SOUSA";806;2,25;"Válido";"Suplente";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"25188";"PAULO CÉSAR ROCHA";"PAULO ROCHA";786;2,19;"Válido";"Eleito por QP";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"13789";"MANOEL ERASMO VASCONCELOS FEIJAO";"MANOEL DO NENEM";777;2,17;"Válido";"Eleito por QP";"PT";"PT"
"ACARAÚ";"Vereador            ";"12333";"MANOEL TEOFILO ROCHA";"MANOEL ROCHA";768;2,14;"Válido";"Suplente";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"25456";"GLEISON JOSÉ RODRIGUES ALVES";"PROFESSOR GLEISON RODRIGUES";748;2,09;"Válido";"Eleito por média";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"25123";"JOAQUIM RODRIGUES ALVES DE MELO";"JOAQUIM PEDRO BECA";694;1,94;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"25333";"PEDRO EDVALDO DA COSTA";"PEDRO GALEGO";692;1,93;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"25000";"ERONDINO MANOEL DE ARAUJO";"DINO ARAÚJO";676;1,89;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"12666";"THERCIA MARIA BARROS";"THERCIA BARROS";666;1,86;"Válido";"Suplente";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"13888";"DARIO ARAUJO FELIPE ROCHA";"DARIO ARAUJO";622;1,73;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"40333";"ANTÔNIO EDSON BRANDÃO";"EDSON BRANDÃO";604;1,68;"Válido";"Suplente";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"13013";"MARIA GLORIA ALVES DOS SANTOS";"GLORIA CRUZ";587;1,64;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"40123";"JOÃO JÚNIOR BERLEZI";"JOÃO BERLEZI";551;1,54;"Válido";"Suplente";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"13999";"MARCIO JOSE DE MORAIS";"MARCIO MORAIS";538;1,50;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"25555";"JOAO PAULO DOS SANTOS";"JOÃO PAULO KEMPES";523;1,46;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"40111";"ANDRÉ LUIZ DE MEDEIROS";"ANDRÉ DAS PARABÓLICAS";517;1,44;"Válido";"Suplente";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"13456";"MARIA DE FATIMA GONZAGA ALVES DE CARVALHO";"FATIMA CARVALHO";484;1,35;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"40000";"MARIA DE FÁTIMA FURTADO SILVEIRA";"FÁTIMA SILVEIRA";417;1,16;"Válido";"Suplente";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"25025";"JOSÉ MILTON VIEIRA";"NILTON REDENÇÃO";404;1,13;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"25122";"PEDRO EDNARDO MOURA JUNIOR";"JUNIOR MOURA";392;1,09;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"13333";"JOSE ARTEIRO ALVES DOS SANTOS";"ZE MOURA";388;1,08;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"25888";"MARIA LÚCIA JESUÍNO";"DONA MARLUCE";385;1,07;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"25111";"ANTÔNIO RODRIGUES BARBOSA";"TONINHO";372;1,04;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"25255";"NAZARÉ FONSECA CASSSEB";"CASSEB";350;0,98;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"25777";"FRANCISCO GEUDES DA SILVA";"GEUDES SILVA";320;0,89;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"25444";"JOÃO ALEX ARAÚJO CAVALCANTE";"ALEX ARAUJO";315;0,88;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"13123";"CAMILA NASCIMENTO DA MOTA";"CAMILA MOTA";310;0,86;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"13222";"ANA CELIA MARTINS DA SILVA";"ANA CELIA";286;0,80;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"13015";"JOAO MICK ROONEY DO NASCIMENTO";"MICK ROONEY";264;0,74;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"40456";"VICENTE DE PAULO DA ROCHA";"VICENTE AROEIRA";264;0,74;"Válido";"Suplente";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"13457";"MANOEL PEREIRA DE SOUSA NETO";"PROFESSOR MANOEL NETO";263;0,73;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"13000";"EDVALDO LOURENCO SOBRINHO";"EDVALDO LOURENCO";257;0,72;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"12555";"ROBERTO JOSE VASCONCELOS CHAVES";"PROFESSOR ROBERTO CHAVES";210;0,59;"Válido";"Suplente";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"40789";"ROBERTO LEAL DA SILVA";"ROBERTO LEAL";193;0,54;"Anulado sub judice";"Não eleito";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"12133";"ADEMIR MONTANHA DA ROCHA";"ALLAN DA TOPIC";186;0,52;"Válido";"Suplente";"PDT";"PDT"
"ACARAÚ";"Vereador            ";"40777";"GIVALDO RODRIGUES DA SILVA";"IRMÃO GIVALDO";181;0,50;"Válido";"Suplente";"PSB";"PSB"
"ACARAÚ";"Vereador            ";"13111";"EDINETE NELI RIBEIRO";"MARIA DO BOBOCO";176;0,49;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"25500";"FRANCISCO ERISVALDO ALVES";"ERISVALDO DO PEIXE";162;0,45;"Válido";"Suplente";"DEM";"DEM"
"ACARAÚ";"Vereador            ";"13033";"MARIA DE LOURDES OLIVEIRA PEREIRA";"LURDINHA";160;0,45;"Válido";"Suplente";"PT";"PT"
"ACARAÚ";"Vereador            ";"40040";"JOÃO ALVES DE MEDEIROS";"JOÃO MEDEIROS";145;0,40;"Válido";"Suplente";"PSB";"PSB"
